"","NAME","Category","Proportion"
"141","Delta","Public transportation (excluding taxicab)",0.404312668463612
"142","Delta","Walked",2.01482479784367
"143","Delta","Taxicab, motorcycle, bicycle, or other means",1.2533692722372
"144","Delta","Worked from home",5.78167115902965
"145","Dickinson","Car, truck, or van - drove alone",77.2572402044293
"146","Dickinson","Car, truck, or van - carpooled",8.33901192504259
"147","Dickinson","Public transportation (excluding taxicab)",0.340715502555366
"148","Dickinson","Walked",2.97274275979557
"149","Dickinson","Taxicab, motorcycle, bicycle, or other means",2.05281090289608
"150","Dickinson","Worked from home",9.03747870528109
"151","Eaton","Car, truck, or van - drove alone",72.3267373159524
"152","Eaton","Car, truck, or van - carpooled",8.9637062740317
"153","Eaton","Public transportation (excluding taxicab)",0.564569070618025
"154","Eaton","Walked",1.59242239519835
"155","Eaton","Taxicab, motorcycle, bicycle, or other means",1.45362468348495
"156","Eaton","Worked from home",15.0989402607146
"157","Emmet","Car, truck, or van - drove alone",74.7363955884135
"158","Emmet","Car, truck, or van - carpooled",8.92013089322506
"159","Emmet","Public transportation (excluding taxicab)",0.242394861228942
"160","Emmet","Walked",3.78741970670222
"161","Emmet","Taxicab, motorcycle, bicycle, or other means",1.63616531329536
"162","Emmet","Worked from home",10.6774936371349
"163","Genesee","Car, truck, or van - drove alone",78.4748149316693
"164","Genesee","Car, truck, or van - carpooled",9.06674145355325
"165","Genesee","Public transportation (excluding taxicab)",0.937757445092987
"166","Genesee","Walked",0.895689821387881
"167","Genesee","Taxicab, motorcycle, bicycle, or other means",0.744947503111251
"168","Genesee","Worked from home",9.8800488451853
"169","Gladwin","Car, truck, or van - drove alone",80.7832227690991
"170","Gladwin","Car, truck, or van - carpooled",5.84207147442756
"171","Gladwin","Public transportation (excluding taxicab)",0.0427990584207147
"172","Gladwin","Walked",1.09137598972823
"173","Gladwin","Taxicab, motorcycle, bicycle, or other means",2.3111491547186
"174","Gladwin","Worked from home",9.92938155360582
"175","Gogebic","Car, truck, or van - drove alone",81.194874355134
"176","Gogebic","Car, truck, or van - carpooled",7.2724246962889
"177","Gogebic","Public transportation (excluding taxicab)",0.349475786320519
"178","Gogebic","Walked",2.91229821933766
"179","Gogebic","Taxicab, motorcycle, bicycle, or other means",0.73223498086204
"180","Gogebic","Worked from home",7.53869196205692
"181","Grand Traverse","Car, truck, or van - drove alone",70.700518134715
"182","Grand Traverse","Car, truck, or van - carpooled",9.07357512953368
"183","Grand Traverse","Public transportation (excluding taxicab)",0.453886010362694
"184","Grand Traverse","Walked",2.18031088082902
"185","Grand Traverse","Taxicab, motorcycle, bicycle, or other means",2.38756476683938
"186","Grand Traverse","Worked from home",15.2041450777202
"187","Gratiot","Car, truck, or van - drove alone",79.8646262507357
"188","Gratiot","Car, truck, or van - carpooled",6.69805768098882
"189","Gratiot","Public transportation (excluding taxicab)",0.141259564449676
"190","Gratiot","Walked",3.96115361977634
