"","year","period","county_fips","county","footnotes","employment","labor_force","unemployment","unemployment_rate","MI_unemployment_rate","MI_employment_population_ratio","MI_labor_force_participation_rate","AGE16PLUS_TOT","period_date","period_txt","LFPR","EPOP"
"89",2025,"Jul-25","149","St. Joseph","T Data were subject to revision on May 19, 2026.",27181,29138,1957,6.7,5.7,58.3,61.9,48621.5608396464,2025-07-01,"Jul-25",59.9281460669207,55.9031827251346
"90",2025,"Jul-25","159","Van Buren","T Data were subject to revision on May 19, 2026.",36017,38161,2144,5.6,5.7,58.3,61.9,61367.9438765037,2025-07-01,"Jul-25",62.1839312015974,58.6902505198484
"91",2025,"Jul-25","001","Alcona","T Data were subject to revision on May 19, 2026.",3381,3698,317,8.6,5.7,58.3,61.9,9513.97316242766,2025-07-01,"Jul-25",38.8691447502085,35.5372034614535
"92",2025,"Jul-25","003","Alger","T Data were subject to revision on May 19, 2026.",3529,3783,254,6.7,5.7,58.3,61.9,7603.03264418721,2025-07-01,"Jul-25",49.75646136272,46.4156891750037
"93",2025,"Jul-25","005","Allegan","T Data were subject to revision on May 19, 2026.",63126,66326,3200,4.8,5.7,58.3,61.9,99362.2332487227,2025-07-01,"Jul-25",66.7517202778377,63.5311807475014
"94",2025,"Jul-25","007","Alpena","T Data were subject to revision on May 19, 2026.",12823,13657,834,6.1,5.7,58.3,61.9,24260.3706866618,2025-07-01,"Jul-25",56.2934514743772,52.8557463759199
"95",2025,"Jul-25","009","Antrim","T Data were subject to revision on May 19, 2026.",11588,12248,660,5.4,5.7,58.3,61.9,21387.2132663122,2025-07-01,"Jul-25",57.2678630333399,54.1819069913736
"96",2025,"Jul-25","011","Arenac","T Data were subject to revision on May 19, 2026.",6553,7033,480,6.8,5.7,58.3,61.9,12719.1760960382,2025-07-01,"Jul-25",55.2944620539586,51.520632708601
"97",2025,"Jul-25","013","Baraga","T Data were subject to revision on May 19, 2026.",3072,3322,250,7.5,5.7,58.3,61.9,6948.30186235797,2025-07-01,"Jul-25",47.8102429313952,44.2122415066966
"98",2025,"Jul-25","015","Barry","T Data were subject to revision on May 19, 2026.",29573,31277,1704,5.4,5.7,58.3,61.9,52775.2600873461,2025-07-01,"Jul-25",59.2645113415543,56.0357257378836
"99",2025,"Jul-25","017","Bay","T Data were subject to revision on May 19, 2026.",47595,50827,3232,6.4,5.7,58.3,61.9,85640.3236521175,2025-07-01,"Jul-25",59.3493786950947,55.575455545144
"100",2025,"Jul-25","019","Benzie","T Data were subject to revision on May 19, 2026.",9224,9696,472,4.9,5.7,58.3,61.9,16018.2807495241,2025-07-01,"Jul-25",60.5308406789416,57.5842073455608
"101",2025,"Jul-25","029","Charlevoix","T Data were subject to revision on May 19, 2026.",14292,14958,666,4.5,5.7,58.3,61.9,22355.024640043,2025-07-01,"Jul-25",66.9111317963245,63.9319357957661
"102",2025,"Jul-25","031","Cheboygan","T Data were subject to revision on May 19, 2026.",11769,12438,669,5.4,5.7,58.3,61.9,22836.7274639659,2025-07-01,"Jul-25",54.4648965996811,51.5354050556076
"103",2025,"Jul-25","033","Chippewa","T Data were subject to revision on May 19, 2026.",16841,18013,1172,6.5,5.7,58.3,61.9,30564.8542856536,2025-07-01,"Jul-25",58.933701537242,55.0992320873088
"104",2025,"Jul-25","035","Clare","T Data were subject to revision on May 19, 2026.",11392,12346,954,7.7,5.7,58.3,61.9,26343.125643028,2025-07-01,"Jul-25",46.8661166761261,43.2446785334869
"105",2025,"Jul-25","037","Clinton","T Data were subject to revision on May 19, 2026.",39833,41943,2110,5,5.7,58.3,61.9,66020.3304860767,2025-07-01,"Jul-25",63.5304302344344,60.3344450212962
"106",2025,"Jul-25","039","Crawford","T Data were subject to revision on May 19, 2026.",5554,5970,416,7,5.7,58.3,61.9,11693.8280735992,2025-07-01,"Jul-25",51.0525720271047,47.4951398724522
"107",2025,"Jul-25","041","Delta","T Data were subject to revision on May 19, 2026.",16315,17498,1183,6.8,5.7,58.3,61.9,30904.5165487844,2025-07-01,"Jul-25",56.6195558256947,52.7916363753691
"108",2025,"Jul-25","043","Dickinson","T Data were subject to revision on May 19, 2026.",12066,12793,727,5.7,5.7,58.3,61.9,21667.1957503534,2025-07-01,"Jul-25",59.0431735947711,55.6878709133517
"109",2025,"Jul-25","045","Eaton","T Data were subject to revision on May 19, 2026.",53528,56917,3389,6,5.7,58.3,61.9,90165.8493126685,2025-07-01,"Jul-25",63.1247866391506,59.3661573733762
"110",2025,"Jul-25","047","Emmet","T Data were subject to revision on May 19, 2026.",18623,19629,1006,5.1,5.7,58.3,61.9,28934.3248212282,2025-07-01,"Jul-25",67.8398411619367,64.3630017809744
"111",2025,"Jul-25","049","Genesee","T Data were subject to revision on May 19, 2026.",178932,192758,13826,7.2,5.7,58.3,61.9,325352.035476268,2025-07-01,"Jul-25",59.2459794258949,54.9964286340086
"112",2025,"Jul-25","051","Gladwin","T Data were subject to revision on May 19, 2026.",9928,10681,753,7,5.7,58.3,61.9,21850.3301690509,2025-07-01,"Jul-25",48.8825565442884,45.4363843621099
"113",2025,"Jul-25","053","Gogebic","T Data were subject to revision on May 19, 2026.",5436,5833,397,6.8,5.7,58.3,61.9,12241.0063011306,2025-07-01,"Jul-25",47.6513111463822,44.4081137307961
"114",2025,"Jul-25","055","Grand Traverse","T Data were subject to revision on May 19, 2026.",55215,57543,2328,4,5.7,58.3,61.9,81253.675415323,2025-07-01,"Jul-25",70.8189502885532,67.9538491246975
"115",2025,"Jul-25","057","Gratiot","T Data were subject to revision on May 19, 2026.",16646,17761,1115,6.3,5.7,58.3,61.9,34442.332633748,2025-07-01,"Jul-25",51.5673551755813,48.3300599207661
"116",2025,"Jul-25","059","Hillsdale","T Data were subject to revision on May 19, 2026.",20725,22049,1324,6,5.7,58.3,61.9,37069.6633065243,2025-07-01,"Jul-25",59.4799036011728,55.9082499040458
"117",2025,"Jul-25","061","Houghton","T Data were subject to revision on May 19, 2026.",16168,17239,1071,6.2,5.7,58.3,61.9,31823.8241276505,2025-07-01,"Jul-25",54.1701083152407,50.8047051012711
"118",2025,"Jul-25","063","Huron","T Data were subject to revision on May 19, 2026.",13947,14963,1016,6.8,5.7,58.3,61.9,25706.6086111147,2025-07-01,"Jul-25",58.2068223247873,54.2545312413158
"119",2025,"Jul-25","065","Ingham","T Data were subject to revision on May 19, 2026.",142449,151764,9315,6.1,5.7,58.3,61.9,242661.803145303,2025-07-01,"Jul-25",62.541363343091,58.7026875073138
"120",2025,"Jul-25","067","Ionia","T Data were subject to revision on May 19, 2026.",30780,32573,1793,5.5,5.7,58.3,61.9,54583.913228963,2025-07-01,"Jul-25",59.6750912001602,56.3902406023679
